fecha,precio_actual,real,pred_ensemble,pred_std,pred_nlin,pred_dlin,baseline_naive,err_ensemble,err_nlin,err_dlin,err_naive
2024-07-30,210.33,215.19,211.16620395613836,5.749822088330973,216.48118891820315,211.70634114325048,210.33,4.023796043861637,-1.2911889182031473,3.483658856749514,4.859999999999985
2024-07-31,208.59,212.8,209.11580028749069,5.804266800731426,212.63292079880833,207.41913358211517,208.59,3.6841997125093258,0.16707920119168307,5.380866417884846,4.210000000000008
2024-08-01,208.67,207.96,209.48654445035382,5.892582026123989,209.8386214827001,208.4890895885229,208.67,-1.5265444503538106,-1.8786214827000833,-0.5290895885228792,-0.7099999999999795
2024-08-02,212.24,199.14,213.19473549654708,5.764983791112911,215.23521125666798,211.61117406725884,212.24,-14.054735496547096,-16.095211256667994,-12.471174067258858,-13.100000000000023
2024-08-05,210.85,194.9,211.46500793411394,5.824608512967814,214.85303490906952,211.69586521685122,210.85,-16.565007934113936,-19.953034909069515,-16.79586521685121,-15.949999999999989
2024-08-06,215.19,200.34,216.12629456525667,6.036556877195835,216.68256260935217,215.43904562830926,215.19,-15.786294565256668,-16.34256260935217,-15.099045628309256,-14.849999999999994
2024-08-07,212.8,200.4,213.66622134512292,5.804087401181448,211.82609247323126,213.78664626777172,212.8,-13.266221345122915,-11.42609247323125,-13.38664626777171,-12.400000000000006
2024-08-08,207.96,204.06,208.56873245853,5.990961932390945,208.83343584615739,209.77106164455415,207.96,-4.508732458530005,-4.773435846157383,-5.7110616445541496,-3.9000000000000057
2024-08-09,199.14,205.8,199.9579169484414,5.98492824956773,200.62891115728763,200.45917004585266,199.14,5.842083051558603,5.171088842712379,5.3408299541473525,6.660000000000025
2024-08-12,194.9,206.19,195.8143211713992,5.963129373639816,196.87309223655612,196.42833039462568,194.9,10.375678828600797,9.31690776344388,9.761669605374323,11.289999999999992
2024-08-13,200.34,207.94,201.29145802237096,5.9814806051552125,205.09210186466575,199.55786433756353,200.34,6.648541977629037,2.8478981353342476,8.382135662436468,7.599999999999994
2024-08-14,200.4,210.24,201.37957249470057,5.580947922170168,201.0976557126269,199.86763000488284,200.4,8.860427505299441,9.142344287373106,10.372369995117168,9.840000000000003
2024-08-15,204.06,211.55,204.85999484186993,5.47019493877886,205.49174600936473,202.48314385771752,204.06,6.690005158130077,6.058253990635279,9.06685614228249,7.490000000000009
2024-08-16,205.8,213.97,206.70115925492718,5.841615468263626,209.77490396127104,205.95737611949443,205.8,7.268840745072822,4.195096038728963,8.012623880505572,8.169999999999987
2024-08-19,206.19,215.45,206.99215534027667,5.7292686358094045,210.5739922942221,208.4648399913311,206.19,8.457844659723321,4.87600770577788,6.985160008668885,9.259999999999991
2024-08-20,207.94,214.52,208.52640896095892,5.720905809849512,215.04926062092184,210.88140573143957,207.94,5.9935910390410925,-0.529260620921832,3.638594268560439,6.5800000000000125
2024-08-21,210.24,214.6,211.112422452271,5.6786431811749765,216.61085390388968,214.00020480394366,210.24,3.487577547728989,-2.010853903889682,0.5997951960563341,4.359999999999985
2024-08-22,211.55,216.63,212.2113379060291,5.713211155682814,212.91242867764086,213.98785682320596,211.55,4.418662093970909,3.7175713223591345,2.642143176794036,5.079999999999984
2024-08-23,213.97,218.31,214.46945364822633,5.734970978647482,214.45834037240596,216.33533791124822,213.97,3.8405463517736678,3.851659627594046,1.974662088751785,4.340000000000003
2024-08-26,215.45,219.17,216.39267118191347,5.810406658798456,216.02852068189532,216.64931406080723,215.45,2.7773288180865165,3.141479318104672,2.5206859391927594,3.719999999999999
2024-08-27,214.52,220.18,215.19008676137776,5.447017615288502,214.48014423901216,214.8993433994055,214.52,4.9899132386222504,5.699855760987845,5.2806566005945115,5.659999999999997
2024-08-28,214.6,221.29,215.01836295407264,5.421047394722706,215.21168824154884,214.13445206582546,214.6,6.271637045927349,6.07831175845115,7.155547934174535,6.689999999999998
2024-08-29,216.63,222.21,217.2808282349445,5.495257177948957,217.4013630703278,215.99235297918318,216.63,4.929171765055514,4.808636929672218,6.217647020816827,5.5800000000000125
2024-08-30,218.31,224.8,219.0918987512961,5.564627444744104,217.86445099677888,217.53829147875308,218.31,5.708101248703912,6.935549003221126,7.261708521246931,6.490000000000009
2024-09-03,219.17,220.3,219.72745034967548,5.732608884572983,219.4997482717782,218.19268006801605,219.17,0.5725496503245324,0.8002517282218093,2.107319931983966,1.1300000000000239
2024-09-04,220.18,219.33,220.80238955437207,5.634227757900959,222.52284828603268,219.34800102591515,220.18,-1.4723895543720573,-3.192848286032671,-0.01800102591514019,-0.8499999999999943
2024-09-05,221.29,217.63,221.9657055064663,5.643996490538143,219.28879298601296,220.85285577416417,221.29,-4.335705506466297,-1.658792986012969,-3.2228557741641737,-3.6599999999999966
