date,hoy_close,pred_close,pred_std_price,real_close,senal_confiable,direccion_pred,direccion_correcta,err_model,err_baseline
2025-12-11,9.5,9.501242422498763,0.0,9.51,,sube,True,0.00875757750123718,0.009999999999999787
2025-12-12,9.51,9.511483854800462,0.0,9.5,,sube,False,0.011483854800461657,0.009999999999999787
2025-12-15,9.5,9.501436749733985,0.0,9.45,,sube,False,0.05143674973398582,0.05000000000000071
2025-12-16,9.45,9.45231146339327,0.0,9.47,,sube,True,0.01768853660673031,0.02000000000000135
2025-12-17,9.47,9.472485779263081,0.0,9.51,,sube,True,0.03751422073691835,0.03999999999999915
2025-12-18,9.51,9.51199538026005,0.0,9.5,,sube,False,0.01199538026004987,0.009999999999999787
2025-12-19,9.5,9.502181208692491,0.0,9.75,,sube,True,0.24781879130750895,0.25
2025-12-22,9.75,9.749459964372218,0.0,9.85,,baja,False,0.10054003562778213,0.09999999999999964
2025-12-23,9.85,9.84878207936883,0.0,9.95,,baja,False,0.10121792063116963,0.09999999999999964
2025-12-24,9.95,9.948123844079673,0.0,10.25,,baja,False,0.30187615592032735,0.3000000000000007
2025-12-26,10.25,10.245467817522584,0.0,10.5,,baja,False,0.2545321824774156,0.25
2025-12-29,10.5,10.494119461365043,0.0,10.7,,baja,False,0.2058805386349558,0.1999999999999993
2025-12-30,10.7,10.693374279104171,0.0,10.7,,baja,True,0.0066257208958280245,0.0
2025-12-31,10.7,10.695184946022927,0.0,10.71,,baja,False,0.014815053977073944,0.010000000000001563
2026-01-02,10.71,10.706918520964683,0.0,11.02,,baja,False,0.3130814790353167,0.3099999999999987
2026-01-05,11.02,11.030396235845982,0.0,11.55,,sube,True,0.5196037641540183,0.5300000000000011
2026-01-06,11.55,11.557876853160561,0.0,11.49,,sube,False,0.06787685316056091,0.0600000000000005
2026-01-07,11.49,11.499807497859003,0.0,11.35,,sube,False,0.14980749785900294,0.14000000000000057
2026-01-08,11.35,11.36209828685969,0.0,11.45,,sube,True,0.08790171314030992,0.09999999999999964
2026-01-09,11.45,11.462554931752383,0.0,11.5,,sube,True,0.037445068247617286,0.05000000000000071
2026-01-12,11.5,11.513026615306735,0.0,11.55,,sube,True,0.03697338469326539,0.05000000000000071
2026-01-13,11.55,11.56261876318604,0.0,11.42,,sube,False,0.1426187631860394,0.13000000000000078
