fecha,precio_actual,real,pred_transformer,pred_std,baseline_naive,err_transformer,err_naive
2024-08-13,200.34,207.94,200.7991669698246,1.3851065503433233,200.34,7.140833030175401,7.599999999999994
2024-08-14,200.4,210.24,200.83457939196379,1.4044839899987096,200.4,9.405420608036223,9.840000000000003
2024-08-15,204.06,211.55,204.5861428399477,1.3446640033274946,204.06,6.963857160052299,7.490000000000009
2024-08-16,205.8,213.97,206.73278025621548,1.1477249437943158,205.8,7.237219743784522,8.169999999999987
2024-08-19,206.19,215.45,207.0646070536785,1.3790010161697808,206.19,8.385392946321502,9.259999999999991
2024-08-20,207.94,214.52,208.7729755269922,1.5456189583987054,207.94,5.747024473007798,6.5800000000000125
2024-08-21,210.24,214.6,210.9364732163586,1.7049126394092866,210.24,3.6635267836414016,4.359999999999985
2024-08-22,211.55,216.63,211.7761776203057,1.1434792307205441,211.55,4.853822379694293,5.079999999999984
2024-08-23,213.97,218.31,214.62959532009438,1.529964822158206,213.97,3.680404679905621,4.340000000000003
2024-08-26,215.45,219.17,215.87825807491316,1.3499239493161497,215.45,3.291741925086825,3.719999999999999
2024-08-27,214.52,220.18,214.9690255941171,1.3878141716122627,214.52,5.210974405882894,5.659999999999997
2024-08-28,214.6,221.29,215.40789871923624,1.2500293677672971,214.6,5.882101280763749,6.689999999999998
2024-08-29,216.63,222.21,216.9001168758329,1.6036440342664662,216.63,5.309883124167101,5.5800000000000125
2024-08-30,218.31,224.8,218.63169794579966,1.59334610346707,218.31,6.168302054200353,6.490000000000009
2024-09-03,219.17,220.3,219.5014875778742,1.4226960953324976,219.17,0.7985124221258104,1.1300000000000239
2024-09-04,220.18,219.33,220.44285374928268,1.3684817343950328,220.18,-1.1128537492826638,-0.8499999999999943
2024-09-05,221.29,217.63,221.58865372274067,1.8815128851682061,221.29,-3.958653722740678,-3.6599999999999966
2024-09-06,222.21,212.46,222.8442756135855,1.2165445027872863,222.21,-10.384275613585487,-9.75
2024-09-09,224.8,216.81,225.45377574209124,1.3873667405918297,224.8,-8.643775742091236,-7.990000000000009
2024-09-10,220.3,205.56,220.6329673571978,1.5879673205315896,220.3,-15.072967357197797,-14.740000000000009
2024-09-11,219.33,207.23,220.893648462072,5.936350585296765,219.33,-13.663648462072018,-12.100000000000023
2024-09-12,217.63,206.6,220.07686717540955,6.620450705885901,217.63,-13.476867175409552,-11.030000000000001
2024-09-13,212.46,204.32,214.55213850654664,6.655086451619866,212.46,-10.232138506546647,-8.140000000000015
2024-09-16,216.81,207.86,219.154496923415,7.322797607779506,216.81,-11.294496923414982,-8.949999999999989
2024-09-17,205.56,209.25,207.9095824092254,7.347687491849058,205.56,1.3404175907745923,3.6899999999999977
2024-09-18,207.23,207.53,211.07517457375303,5.635097006447609,207.23,-3.5451745737530302,0.30000000000001137
2024-09-19,206.6,210.48,211.49605854114517,6.706718278937046,206.6,-1.0160585411451848,3.8799999999999955
2024-09-20,204.32,211.09,209.41705110430715,6.197623356431734,204.32,1.6729488956928549,6.77000000000001
2024-09-23,207.86,211.44,210.60534026645126,5.793875095359994,207.86,0.8346597335487331,3.579999999999984
2024-09-24,209.25,211.59,210.52346765412483,5.848303883895284,209.25,1.0665323458751743,2.3400000000000034
2024-09-25,207.53,210.19,208.9909604171943,6.283993288539364,207.53,1.1990395828057103,2.6599999999999966
2024-09-26,210.48,209.78,212.24508852623404,6.054163300320511,210.48,-2.465088526234041,-0.6999999999999886
2024-09-27,211.09,210.5,213.42805118170565,6.879007123559717,211.09,-2.928051181705655,-0.5900000000000034
2024-09-30,211.44,210.86,212.88902599095368,6.193532192893315,211.44,-2.02902599095367,-0.5799999999999841
2024-10-01,211.59,207.04,212.35381191594524,6.806362261436874,211.59,-5.3138119159452515,-4.550000000000011
