Date,Open,Close,High,Low,Volume
2014-01-02,,58.21,,,15640000.0
2014-01-03,,58.66,,,14220000.0
2014-01-06,,59.0,,,17560000.0
2014-01-07,,58.32,,,17870000.0
2014-01-08,,58.87,,,14690000.0
2014-01-09,,58.76,,,13250000.0
2014-01-10,,58.49,,,12700000.0
2014-01-13,,57.7,,,20770000.0
2014-01-14,,57.74,,,30320000.0
2014-01-15,,59.49,,,35220000.0
2014-01-16,,58.99,,,21690000.0
2014-01-17,,58.11,,,21060000.0
2014-01-21,,58.17,,,19560000.0
2014-01-22,,57.59,,,15480000.0
2014-01-23,,56.47,,,26240000.0
2014-01-24,,55.09,,,27110000.0
2014-01-27,,55.09,,,23940000.0
2014-01-28,,55.74,,,18060000.0
2014-01-29,,55.53,,,25470000.0
2014-01-30,,56.0,,,17060000.0
2014-01-31,,55.36,,,18200000.0
2014-02-03,,54.31,,,28570000.0
2014-02-04,,54.95,,,20780000.0
2014-02-05,,55.21,,,19500000.0
2014-02-06,,56.48,,,20920000.0
2014-02-07,,56.62,,,25070000.0
2014-02-10,,56.74,,,14730000.0
2014-02-11,,57.43,,,18820000.0
2014-02-12,,57.52,,,13450000.0
2014-02-13,,58.03,,,16610000.0
2014-02-14,,58.15,,,13190000.0
2014-02-18,,58.49,,,14990000.0
2014-02-19,,57.26,,,18690000.0
2014-02-20,,57.58,,,12460000.0
2014-02-21,,57.61,,,16790000.0
2014-02-24,,58.03,,,16210000.0
2014-02-25,,57.03,,,18000000.0
2014-02-26,,56.75,,,23670000.0
2014-02-27,,56.69,,,16290000.0
2014-02-28,,56.82,,,18600000.0
2014-03-03,,56.21,,,19150000.0
2014-03-04,,57.26,,,17170000.0
2014-03-05,,58.16,,,17760000.0
2014-03-06,,58.9,,,19430000.0
2014-03-07,,59.4,,,18620000.0
2014-03-10,,59.2,,,16970000.0
2014-03-11,,58.19,,,19440000.0
2014-03-12,,57.92,,,17940000.0
2014-03-13,,57.42,,,17190000.0
2014-03-14,,56.8,,,18640000.0
2014-03-17,,57.58,,,13590000.0
2014-03-18,,58.06,,,12550000.0
2014-03-19,,58.3,,,21450000.0
2014-03-20,,60.11,,,33740000.0
2014-03-21,,60.17,,,35150000.0
2014-03-24,,61.07,,,25810000.0
2014-03-25,,60.93,,,24050000.0
2014-03-26,,59.9,,,22750000.0
2014-03-27,,59.92,,,24630000.0
2014-03-28,,60.04,,,14710000.0
2014-03-31,,60.71,,,15220000.0
2014-04-01,,60.67,,,14590000.0
2014-04-02,,60.48,,,14010000.0
2014-04-03,,60.66,,,11930000.0
2014-04-04,,59.81,,,16970000.0
2014-04-07,,59.0,,,18690000.0
2014-04-08,,58.85,,,16960000.0
2014-04-09,,59.27,,,15310000.0
2014-04-10,,57.4,,,29980000.0
2014-04-11,,55.3,,,47250000.0
2014-04-14,,54.96,,,31080000.0
2014-04-15,,54.8,,,26690000.0
2014-04-16,,55.26,,,27050000.0
2014-04-17,,55.22,,,17960000.0
2014-04-21,,55.03,,,12380000.0
2014-04-22,,55.81,,,16270000.0
2014-04-23,,56.05,,,11380000.0
2014-04-24,,56.19,,,15370000.0
2014-04-25,,55.7,,,15940000.0
2014-04-28,,55.49,,,21390000.0
2014-04-29,,56.1,,,13450000.0
2014-04-30,,55.98,,,14390000.0
2014-05-01,,55.72,,,12740000.0
2014-05-02,,55.58,,,15150000.0
2014-05-05,,54.22,,,25240000.0
2014-05-06,,53.34,,,25330000.0
2014-05-07,,54.05,,,18500000.0
2014-05-08,,54.36,,,16090000.0
2014-05-09,,54.01,,,12370000.0
2014-05-12,,54.65,,,12830000.0
2014-05-13,,54.62,,,12310000.0
2014-05-14,,54.36,,,10330000.0
2014-05-15,,53.51,,,19760000.0
2014-05-16,,53.31,,,19990000.0
2014-05-19,,53.83,,,12070000.0
2014-05-20,,53.72,,,16890000.0
2014-05-21,,54.12,,,13210000.0
2014-05-22,,54.55,,,11800000.0
2014-05-23,,54.53,,,10880000.0
2014-05-27,,55.14,,,14500000.0
2014-05-28,,55.45,,,11370000.0
2014-05-29,,55.72,,,11740000.0
2014-05-30,,55.57,,,11990000.0
2014-06-02,,55.35,,,9440000.0
2014-06-03,,55.6,,,9130000.0
2014-06-04,,55.68,,,9730000.0
2014-06-05,,56.63,,,16800000.0
2014-06-06,,56.97,,,15400000.0
2014-06-09,,57.42,,,12000000.0
2014-06-10,,57.9,,,11610000.0
2014-06-11,,57.27,,,14230000.0
2014-06-12,,57.04,,,11680000.0
2014-06-13,,57.04,,,12040000.0
2014-06-16,,56.87,,,11200000.0
2014-06-17,,57.42,,,11200000.0
2014-06-18,,57.78,,,13740000.0
2014-06-19,,57.3,,,11620000.0
2014-06-20,,57.55,,,17130000.0
2014-06-23,,58.19,,,16010000.000000002
2014-06-24,,57.42,,,12320000.0
2014-06-25,,57.53,,,14840000.0
2014-06-26,,57.39,,,11850000.0
2014-06-27,,57.53,,,10180000.0
2014-06-30,,57.62,,,11550000.0
2014-07-01,,57.57,,,14470000.0
2014-07-02,,56.97,,,19200000.0
2014-07-03,,57.05,,,12600000.0
2014-07-07,,56.67,,,13920000.0
2014-07-08,,55.76,,,18350000.0
2014-07-09,,56.02,,,10910000.0
2014-07-10,,55.56,,,12440000.0
2014-07-11,,55.8,,,10240000.0
2014-07-14,,56.29,,,14010000.0
2014-07-15,,58.27,,,36220000.0
2014-07-16,,58.71,,,20520000.0
2014-07-17,,57.86,,,17020000.0
2014-07-18,,58.23,,,12800000.0
2014-07-21,,58.24,,,9150000.0
2014-07-22,,58.67,,,10380000.0
2014-07-23,,59.0,,,11120000.0
2014-07-24,,59.17,,,9840000.0
2014-07-25,,59.01,,,10500000.0
2014-07-28,,59.19,,,12380000.0
2014-07-29,,58.64,,,13500000.0
2014-07-30,,58.91,,,11820000.0
2014-07-31,,57.67,,,15960000.0
2014-08-01,,56.48,,,23920000.0
2014-08-04,,56.65,,,13550000.0
2014-08-05,,56.06,,,16860000.0
2014-08-06,,56.23,,,12190000.0
2014-08-07,,55.91,,,11740000.0
2014-08-08,,56.34,,,12210000.0
2014-08-11,,56.32,,,9070000.0
2014-08-12,,56.35,,,11290000.0
2014-08-13,,56.72,,,7020000.0
2014-08-14,,56.98,,,8279999.999999999
2014-08-15,,56.75,,,12730000.0
2014-08-18,,57.23,,,8880000.0
2014-08-19,,57.56,,,9040000.0
2014-08-20,,57.64,,,8119999.999999999
2014-08-21,,58.5,,,12750000.0
2014-08-22,,58.49,,,10230000.0
2014-08-25,,59.34,,,14000000.0
2014-08-26,,59.74,,,10280000.0
2014-08-27,,59.59,,,11410000.0
2014-08-28,,59.16,,,9100000.0
2014-08-29,,59.45,,,8900000.0
2014-09-02,,59.67,,,8680000.0
2014-09-03,,59.7,,,11790000.0
2014-09-04,,59.71,,,9810000.0
2014-09-05,,59.91,,,9600000.0
2014-09-08,,59.89,,,8090000.0
2014-09-09,,59.06,,,14870000.0
2014-09-10,,59.22,,,9160000.0
2014-09-11,,59.76,,,11470000.0
2014-09-12,,60.03,,,14370000.0
2014-09-15,,59.94,,,10690000.0
2014-09-16,,59.99,,,10950000.0
2014-09-17,,60.31,,,15090000.0
2014-09-18,,61.32,,,16970000.0
2014-09-19,,61.11,,,18740000.0
2014-09-22,,60.91,,,13230000.0
2014-09-23,,60.94,,,14340000.0
2014-09-24,,61.63,,,13730000.0
2014-09-25,,60.15,,,16350000.000000002
2014-09-26,,60.56,,,11950000.0
2014-09-29,,60.33,,,10690000.0
2014-09-30,,60.24,,,14380000.0
2014-10-01,,59.77,,,19000000.0
2014-10-02,,58.84,,,24560000.0
2014-10-03,,60.3,,,18320000.0
2014-10-06,,60.18,,,11580000.0
2014-10-07,,59.27,,,14540000.0
2014-10-08,,60.4,,,15830000.0
2014-10-09,,59.08,,,19190000.0
2014-10-10,,58.52,,,16690000.000000002
2014-10-13,,58.16,,,17170000.0
2014-10-14,,57.99,,,29100000.0
2014-10-15,,55.53,,,37870000.0
2014-10-16,,55.08,,,31970000.0
2014-10-17,,56.2,,,20180000.0
2014-10-20,,56.63,,,10810000.0
2014-10-21,,57.93,,,14020000.0
2014-10-22,,57.45,,,13750000.0
2014-10-23,,58.06,,,12640000.0
2014-10-24,,58.74,,,13760000.0
2014-10-27,,58.64,,,11090000.0
2014-10-28,,59.63,,,13630000.0
2014-10-29,,59.29,,,16719999.999999998
2014-10-30,,59.39,,,14710000.0
2014-10-31,,60.48,,,18350000.0
2014-11-03,,60.88,,,11850000.0
2014-11-04,,60.25,,,15300000.0
2014-11-05,,61.15,,,14060000.0
2014-11-06,,61.23,,,10420000.0
2014-11-07,,61.47,,,12380000.0
2014-11-10,,61.93,,,10800000.0
2014-11-11,,61.37,,,12540000.0
2014-11-12,,60.56,,,17220000.0
2014-11-13,,60.23,,,12240000.0
2014-11-14,,60.28,,,6800000.0
2014-11-17,,60.38,,,9020000.0
2014-11-18,,60.53,,,8900000.0
2014-11-19,,60.6,,,9210000.0
2014-11-20,,60.12,,,10920000.0
2014-11-21,,60.45,,,12340000.0
2014-11-24,,60.96,,,8340000.0
2014-11-25,,60.3,,,14800000.0
2014-11-26,,60.34,,,7630000.0
2014-11-28,,60.16,,,6760000.0
2014-12-01,,60.0,,,12770000.0
2014-12-02,,61.08,,,12550000.0
2014-12-03,,61.54,,,12120000.0
2014-12-04,,61.38,,,11540000.0
2014-12-05,,62.7,,,20070000.0
2014-12-08,,62.67,,,15540000.0
2014-12-09,,62.45,,,19680000.0
2014-12-10,,60.68,,,29620000.0
2014-12-11,,61.14,,,16890000.0
2014-12-12,,60.04,,,17410000.0
2014-12-15,,59.16,,,19210000.0
2014-12-16,,58.43,,,20710000.0
2014-12-17,,59.77,,,17860000.0
2014-12-18,,61.48,,,18170000.0
2014-12-19,,61.93,,,22760000.0
2014-12-22,,61.94,,,17070000.0
2014-12-23,,62.48,,,13550000.0
2014-12-24,,62.48,,,7420000.0
2014-12-26,,62.55,,,6090000.0
2014-12-29,,62.96,,,10600000.0
2014-12-30,,63.15,,,7520000.0
2014-12-31,,62.58,,,18530000.0
2015-01-02,,62.49,,,12600000.0
2015-01-05,,60.55,,,20100000.0
2015-01-06,,58.98,,,29070000.0
2015-01-07,,59.07,,,23840000.0
2015-01-08,,60.39,,,16970000.0
2015-01-09,,59.34,,,15400000.0
2015-01-12,,58.83,,,15460000.0
2015-01-13,,58.84,,,21640000.0
2015-01-14,,56.81,,,49600000.0
2015-01-15,,54.99,,,42460000.0
2015-01-16,,55.93,,,29370000.0
2015-01-20,,55.71,,,23480000.0
2015-01-21,,55.89,,,21840000.0
2015-01-22,,57.59,,,31420000.0
2015-01-23,,56.68,,,15460000.0
2015-01-26,,56.77,,,12580000.0
2015-01-27,,56.2,,,15220000.0
2015-01-28,,54.75,,,24350000.0
2015-01-29,,55.67,,,20390000.0
2015-01-30,,54.38,,,26940000.0
2015-02-02,,55.47,,,20310000.0
2015-02-03,,56.72,,,18810000.0
2015-02-04,,56.38,,,14930000.0
2015-02-05,,56.77,,,11290000.0
2015-02-06,,57.89,,,25210000.0
2015-02-09,,57.82,,,14370000.0
2015-02-10,,58.46,,,16370000.000000002
2015-02-11,,58.37,,,13060000.0
2015-02-12,,59.57,,,23210000.0
2015-02-13,,59.67,,,16480000.0
2015-02-17,,60.1,,,15310000.0
2015-02-18,,59.37,,,14280000.0
2015-02-19,,59.23,,,11260000.0
2015-02-20,,59.8,,,15380000.0
2015-02-23,,59.35,,,16810000.0
2015-02-24,,60.82,,,22940000.0
2015-02-25,,61.14,,,18310000.0
2015-02-26,,61.58,,,15440000.0
2015-02-27,,61.28,,,15230000.0
2015-03-02,,61.77,,,13050000.0
