fecha_prediccion,prediccion,baseline,real,error_transformer,error_baseline,error_pct_transformer,error_pct_baseline,direccion_correcta
2026-07-28,356.593604562853,356.2,357.31,0.716395437147014,1.1100000000000136,0.200496889856711,0.3106546136408199,True
2026-07-29,357.64967801073567,357.31,344.71,12.93967801073569,12.600000000000025,3.753786664365899,3.6552464390357176,False
2026-07-30,345.5983729722724,344.71,350.85,5.251627027727693,6.140000000000043,1.4968297072047008,1.7500356277611635,True
2026-07-31,351.40416494796057,350.85,351.79,0.3858350520394538,0.9399999999999976,0.1096776633899354,0.2672048665396963,True
2026-08-03,351.88861229295145,351.79,352.64,0.7513877070485364,0.8499999999999659,0.2130750076702973,0.2410390199636927,True
2026-08-04,353.1884820627514,352.64,357.52,4.331517937248577,4.879999999999996,1.211545630244064,1.3649586037144763,True
2026-08-05,358.5428892583982,357.52,359.24,0.6971107416018185,1.7200000000000273,0.1940515370231094,0.478788553613191,True
2026-08-06,359.84394769934704,359.24,356.3,3.5439476993470294,2.9399999999999977,0.9946527362747766,0.8251473477406673,False
2026-08-07,357.3481555629335,356.3,357.52,0.1718444370664542,1.2199999999999704,0.0480656850152311,0.3412396509286111,True
2026-08-10,357.76619466862286,357.52,359.79,2.0238053313771616,2.2700000000000387,0.562496270429184,0.630923594318919,True
2026-08-11,360.1348851284199,359.79,362.04,1.9051148715801105,2.25,0.5262166809137417,0.6214782896917468,True
2026-08-11,360.1348851284199,359.79,362.04,1.9051148715801105,2.25,0.5262166809137417,0.6214782896917468,True
2026-08-12,362.669251726591,362.04,365.18,2.5107482734089785,3.1399999999999864,0.6875371798589678,0.8598499370173575,True
