date,hoy_close,pred_close,pred_std_price,real_close,senal_confiable,direccion_pred,direccion_correcta,err_model,err_baseline
2025-12-18,313.0,313.04070321395994,0.0,317.21,,sube,True,4.169296786040036,4.2099999999999795
2025-12-19,317.21,317.237160705924,0.0,323.09,,sube,True,5.852839294075977,5.8799999999999955
2025-12-22,323.09,323.10198289871215,0.0,325.93,,sube,True,2.8280171012878554,2.840000000000032
2025-12-23,325.93,325.9401723177731,0.0,329.17,,sube,True,3.229827682226926,3.240000000000009
2025-12-24,329.17,329.17312718600033,0.0,327.91,,sube,False,1.263127186000304,1.259999999999991
2025-12-26,327.91,327.917230372727,0.0,323.75,,sube,False,4.167230372726976,4.160000000000025
2025-12-29,323.75,323.76684099212287,0.0,323.42,,sube,False,0.3468409921228499,0.3299999999999841
2025-12-30,323.42,323.4332666384429,0.0,322.22,,sube,False,1.2132666384428603,1.1999999999999886
2025-12-31,322.22,322.23587295874955,0.0,325.48,,sube,True,3.244127041250465,3.259999999999991
2026-01-02,325.48,325.48557017557323,0.0,334.04,,sube,True,8.55442982442679,8.560000000000002
2026-01-05,334.04,334.0216611455381,0.0,334.61,,baja,False,0.5883388544619379,0.5699999999999932
2026-01-06,334.61,334.59137232899667,0.0,326.99,,baja,True,7.601372328996661,7.6200000000000045
2026-01-07,326.99,326.98978189371525,0.0,329.79,,baja,False,2.800218106284774,2.8000000000000114
2026-01-08,329.79,329.77644852869213,0.0,329.19,,baja,True,0.5864485286921308,0.6000000000000227
2026-01-09,329.19,329.1749815398455,0.0,324.49,,baja,True,4.684981539845467,4.699999999999989
2026-01-12,324.49,324.7051755481958,0.0,310.9,,sube,False,13.805175548195848,13.590000000000032
2026-01-13,310.9,311.3093411695957,0.0,307.87,,sube,False,3.439341169595707,3.0299999999999727
2026-01-14,307.87,308.3103914333135,0.0,309.26,,sube,True,0.9496085666864928,1.3899999999999864
2026-01-15,309.26,309.65733954258263,0.0,312.47,,sube,True,2.812660457417394,3.2100000000000364
2026-01-16,312.47,312.7907055409253,0.0,302.74,,sube,False,10.050705540925264,9.730000000000018
2026-01-20,302.74,303.15923152551056,0.0,302.04,,sube,False,1.1192315255105427,0.6999999999999886
2026-01-21,302.04,302.4250473929197,0.0,303.63,,sube,True,1.2049526070803154,1.589999999999975
2026-01-22,303.63,303.9604385741055,0.0,297.72,,sube,False,6.240438574105497,5.909999999999968
2026-01-23,297.72,298.1115867745877,0.0,301.04,,sube,True,2.928413225412328,3.319999999999993
2026-01-26,301.04,301.3654304670543,0.0,300.31,,sube,False,1.0554304670542933,0.7300000000000182
2026-01-27,300.31,300.6487892648578,0.0,300.77,,sube,True,0.12121073514219916,0.45999999999997954
2026-01-28,300.77,301.11084599740803,0.0,306.42,,sube,True,5.309154002591981,5.650000000000034
2026-01-29,306.42,306.68809472084047,0.0,305.89,,sube,False,0.7980947208404814,0.5300000000000296
