date,hoy_close,pred_close,pred_std_price,real_close,senal_confiable,direccion_pred,direccion_correcta,err_model,err_baseline
2025-12-18,313.0,312.0777063280251,8.40316308528179,327.91,False,baja,False,15.832293671974924,14.910000000000025
2025-12-19,317.21,322.8392271028831,9.760395670682158,323.75,False,sube,True,0.9107728971168854,6.5400000000000205
2025-12-22,323.09,321.38749732299704,8.362347332462662,323.42,False,baja,False,2.032502677002981,0.3300000000000409
2025-12-23,325.93,328.6461671965569,8.171063639111821,322.22,False,sube,False,6.426167196556889,3.7099999999999795
2025-12-24,329.17,327.0588339923881,7.30979478601364,325.48,False,baja,True,1.5788339923880699,3.6899999999999977
2025-12-26,327.91,328.35290178465664,6.80874489482494,334.04,False,sube,True,5.687098215343383,6.1299999999999955
2025-12-29,323.75,323.7737745809555,8.661664844974837,334.61,False,sube,True,10.836225419044524,10.860000000000014
2025-12-30,323.42,321.56318961634304,9.807460815906495,326.99,False,baja,False,5.426810383656971,3.569999999999993
2025-12-31,322.22,321.3446171057876,9.69104085989295,329.79,False,baja,False,8.4453828942124,7.569999999999993
2026-01-02,325.48,323.62696390078406,8.174614090733257,329.19,False,baja,False,5.563036099215935,3.7099999999999795
2026-01-05,334.04,332.27710578418333,8.858842885568777,324.49,False,baja,True,7.787105784183325,9.550000000000011
2026-01-06,334.61,335.039296409227,6.658752505667508,310.9,False,sube,False,24.13929640922703,23.710000000000036
2026-01-07,326.99,327.57514723029453,8.69174458980558,307.87,False,sube,False,19.70514723029453,19.120000000000005
2026-01-08,329.79,329.2584742994001,7.416081763058912,309.26,False,baja,True,19.99847429940013,20.53000000000003
2026-01-09,329.19,327.49688921365885,8.271633044555813,312.47,False,baja,True,15.02688921365882,16.71999999999997
2026-01-12,324.49,326.4153385688644,1.9570596829429405,302.74,False,sube,False,23.67533856886439,21.75
2026-01-13,310.9,313.0436857433897,1.6240976521744983,302.04,True,sube,False,11.003685743389667,8.859999999999957
2026-01-14,307.87,309.5710203410499,2.065349378641656,303.63,False,sube,False,5.941020341049921,4.240000000000009
2026-01-15,309.26,310.9441267636046,2.551789700780091,297.72,False,sube,False,13.224126763604545,11.539999999999964
2026-01-16,312.47,314.272337755356,2.047888652738152,301.04,False,sube,False,13.232337755355957,11.430000000000007
2026-01-20,302.74,304.0825201107748,2.002071028333148,300.31,False,sube,False,3.772520110774792,2.430000000000007
2026-01-21,302.04,303.5470357718971,1.9863922446035076,300.77,False,sube,False,2.77703577189709,1.2700000000000387
2026-01-22,303.63,304.44457542920486,2.1806847730092613,306.42,False,sube,True,1.9754245707951554,2.7900000000000205
2026-01-23,297.72,298.5601231336268,2.402319468278449,305.89,False,sube,True,7.3298768663731835,8.169999999999959
2026-01-26,301.04,302.7258305688203,1.8318353747856122,308.14,False,sube,True,5.414169431179687,7.099999999999966
2026-01-27,300.31,301.46307993991303,2.3445277483388622,314.85,False,sube,True,13.386920060086993,14.54000000000002
2026-01-28,300.77,301.6707475149538,2.0436079011298602,317.27,False,sube,True,15.59925248504618,16.5
2026-01-29,306.42,307.0911218735855,2.2172528694383686,310.16,False,sube,True,3.0688781264145177,3.740000000000009
2026-01-30,305.89,308.0700147092622,2.609713047407581,322.4,False,sube,True,14.329985290737795,16.50999999999999
2026-02-02,308.14,309.4867410797439,2.5001679162867276,322.1,False,sube,True,12.6132589202561,13.960000000000036
2026-02-03,314.85,317.011460459251,7.476441498808583,318.28,False,sube,True,1.268539540748975,3.42999999999995
2026-02-04,317.27,318.06025025353296,7.277175474353157,310.82,False,sube,False,7.240250253532963,6.449999999999989
2026-02-05,310.16,311.18728992542253,7.301848398819573,302.64,False,sube,False,8.547289925422547,7.520000000000039
2026-02-06,322.4,323.95627791892736,7.5650482849776495,302.55,False,sube,False,21.406277918927344,19.849999999999966
2026-02-09,322.1,323.3611120196339,7.797783147990742,307.13,False,sube,False,16.231112019633883,14.970000000000027
2026-02-10,318.28,320.2232716562785,6.3615907211974445,308.78,False,sube,False,11.443271656278512,9.5
2026-02-11,310.82,312.68899448028765,7.748819068893795,308.05,False,sube,False,4.638994480287636,2.769999999999982
2026-02-12,302.64,303.5199996616132,5.918991001099357,310.79,False,sube,True,7.270000338386808,8.150000000000034
2026-02-13,302.55,305.51061721164734,7.243636889383197,297.67,False,sube,False,7.840617211647327,4.8799999999999955
2026-02-17,307.13,306.94272098465353,6.139220804348554,297.3,False,baja,True,9.642720984653522,9.829999999999984
2026-02-18,308.78,310.51937142847106,6.894728626236315,303.3,False,sube,False,7.2193714284710495,5.479999999999961
2026-02-19,308.05,309.84614120614714,7.805504547804617,306.13,False,sube,False,3.7161412061471424,1.920000000000016
2026-02-20,310.79,311.01218868433614,5.3191634644567785,300.3,False,sube,False,10.712188684336127,10.490000000000009
2026-02-23,297.67,299.11157404423693,8.280470798499891,297.56,False,sube,False,1.5515740442369292,0.11000000000001364
2026-02-24,297.3,302.0294150710106,9.382164675816853,300.26,False,sube,True,1.7694150710105987,2.9599999999999795
2026-02-25,303.3,302.18919058123606,2.469961164630945,299.39,False,baja,True,2.7991905812360756,3.910000000000025
2026-02-26,306.13,306.56308726650195,4.130064484458444,293.55,False,sube,False,13.013087266501941,12.579999999999984
2026-02-27,300.3,301.6383441098872,3.545163728874172,289.48,False,sube,False,12.158344109887196,10.819999999999993
2026-03-02,297.56,297.4404445461853,3.986457145865984,289.92,False,baja,True,7.520444546185274,7.639999999999986
2026-03-03,300.26,300.39087218613537,3.343489879965773,288.73,False,sube,False,11.66087218613535,11.529999999999973
2026-03-04,299.39,299.61040661106,2.8208768658712415,287.52,False,sube,False,12.090406611060018,11.870000000000005
2026-03-05,293.55,293.5587400122843,3.7904146642424053,282.89,False,sube,False,10.668740012284331,10.660000000000025
2026-03-06,289.48,288.36765026056213,4.634847326427746,283.44,False,baja,True,4.927650260562132,6.0400000000000205
2026-03-09,289.92,290.395330518377,3.629182721897962,286.16,False,sube,False,4.235330518376998,3.759999999999991
2026-03-10,288.73,288.9932823658793,4.778147885687645,286.89,False,sube,False,2.103282365879295,1.8400000000000318
2026-03-11,287.52,287.8699126704805,5.2711920918151804,287.74,False,sube,True,0.12991267048050759,0.22000000000002728
2026-03-12,282.89,283.014755429051,3.57161072937771,287.97,False,sube,True,4.9552445709490485,5.080000000000041
2026-03-13,283.44,284.80613687528296,3.8452686443179687,286.56,False,sube,True,1.7538631247170429,3.1200000000000045
2026-03-16,286.16,286.900116742109,3.609114371668568,289.91,False,sube,True,3.0098832578910333,3.75
