fecha_prediccion,prediccion,baseline,real,error_transformer,error_baseline,error_pct_transformer,error_pct_baseline,direccion_correcta
2026-07-28,356.4209230202919,356.2,357.31,0.8890769797080793,1.1100000000000136,0.2488251041695108,0.3106546136408199,True
2026-07-28,357.1689982431196,357.31,349.69,7.478998243119577,7.620000000000003,2.138750963172975,2.17907289313392,True
2026-07-29,350.07623446010984,349.69,344.8,5.276234460109833,4.889999999999986,1.530230411864801,1.418213457076562,False
2026-07-30,342.2242821659986,344.8,350.85,8.62571783400142,6.050000000000011,2.4585201179995497,1.7243836397320824,False
2026-07-31,347.4891100611724,350.85,351.79,4.300889938827595,0.9399999999999976,1.2225731086237797,0.2672048665396963,False
2026-08-03,352.13207662274016,351.79,352.64,0.5079233772598286,0.8499999999999659,0.1440345330251329,0.2410390199636927,True
2026-08-04,352.4184065420879,352.64,357.52,5.101593457912088,4.879999999999996,1.426939320293155,1.3649586037144763,False
2026-08-05,357.1908458596375,357.52,359.24,2.049154140362532,1.7200000000000273,0.5704136901131645,0.478788553613191,False
2026-08-06,359.229366583028,359.24,356.3,2.9293665830279565,2.9399999999999977,0.8221629478046468,0.8251473477406673,True
2026-08-07,356.67575133023206,356.3,357.52,0.8442486697679215,1.2199999999999704,0.2361402634168498,0.3412396509286111,True
2026-08-10,357.8258639847824,357.52,359.79,1.9641360152176048,2.2700000000000387,0.5459117861023387,0.630923594318919,True
2026-08-11,358.8564466166497,359.79,362.65,3.793553383350286,2.859999999999957,1.0460646307321897,0.7886391837860077,False
2026-08-12,361.58441860738674,362.65,365.18,3.595581392613269,2.5300000000000296,0.9846052337513743,0.6928090256859711,False
